101,500.01,1500.00,"9877770000339","discount green",4,0,20191101,81323,911
102,1500.01,9999999.00,"9877770000339","discount green",5,0,20191101,81323,911
103,.00,500.00,"9877770000346","discount green",3,0,20191101,81323,911
105,1500.01,9999999.00,"9877770000346","discount green",5,0,20191101,81323,911
106,.00,500.00,"9877770000353","discount green",3,0,20191101,81323,911
107,500.01,1500.00,"9877770000353","discount green",4,0,20191101,81323,911
109,.00,500.00,"9877770000360","discount green",3,0,20191101,81323,911
110,500.01,1500.00,"9877770000360","discount green",4,0,20191101,81323,911
111,1500.01,9999999.00,"9877770000360","discount green",5,0,20191101,81323,911
113,500.01,1500.00,"9877770000377","discount green",4,0,20191101,81323,911
114,1500.01,9999999.00,"9877770000377","discount green",5,0,20191101,81323,911
115,.00,500.00,"9877770000384","discount green",3,0,20191101,81323,911
116,500.01,1500.00,"9877770000384","discount green",4,0,20191101,81323,911
118,.00,500.00,"9877770000391","discount green",3,0,20191101,81323,911
119,500.01,1500.00,"9877770000391","discount green",4,0,20191101,81323,911
120,1500.01,9999999.00,"9877770000391","discount green",5,0,20191101,81323,911
122,500.01,1500.00,"9877770000407","discount green",4,0,20191101,81323,911
123,1500.01,9999999.00,"9877770000407","discount green",5,0,20191101,81323,911
124,.00,500.00,"9877770000414","discount green",3,0,20191101,81323,911
126,1500.01,9999999.00,"9877770000414","discount green",5,0,20191101,81323,911
127,.00,500.00,"9877770000421","discount green",3,0,20191101,81323,911
128,500.01,1500.00,"9877770000421","discount green",4,0,20191101,81323,911
130,.00,500.00,"9877770000438","discount green",3,0,20191101,81323,911
131,500.01,1500.00,"9877770000438","discount green",4,0,20191101,81323,911
132,1500.01,9999999.00,"9877770000438","discount green",5,0,20191101,81323,911
134,500.01,1500.00,"9877770000445","discount green",4,0,20191101,81323,911
135,1500.01,9999999.00,"9877770000445","discount green",5,0,20191101,81323,911
136,.00,500.00,"9877770000452","discount green",3,0,20191101,81323,911
137,500.01,1500.00,"9877770000452","discount green",4,0,20191101,81323,911
140,500.01,1500.00,"9877770000469","discount green",4,0,20191101,81323,911
141,1500.01,9999999.00,"9877770000469","discount green",5,0,20191101,81323,911
142,.00,500.00,"9877770000476","discount green",3,0,20191101,81323,911
144,1500.01,9999999.00,"9877770000476","discount green",5,0,20191101,81323,911
145,.00,500.00,"9877770000483","discount green",3,0,20191101,81323,911
146,500.01,1500.00,"9877770000483","discount green",4,0,20191101,81323,911
147,1500.01,9999999.00,"9877770000483","discount green",5,0,20191101,81323,911
149,500.01,1500.00,"9877770000490","discount green",4,0,20191101,81323,911
150,1500.01,9999999.00,"9877770000490","discount green",5,0,20191101,81323,911
151,.00,500.00,"9877770000506","discount green",3,0,20191101,81323,911
153,1500.01,9999999.00,"9877770000506","discount green",5,0,20191101,81323,911
154,.00,500.00,"9877770000513","discount green",3,0,20191101,81323,911
155,500.01,1500.00,"9877770000513","discount green",4,0,20191101,81323,911
157,.00,500.00,"9877770000520","discount green",3,0,20191101,81323,911
158,500.01,1500.00,"9877770000520","discount green",4,0,20191101,81323,911
159,1500.01,9999999.00,"9877770000520","discount green",5,0,20191101,81323,911
161,500.01,1500.00,"9877770000537","discount green",4,0,20191101,81323,911
162,1500.01,9999999.00,"9877770000537","discount green",5,0,20191101,81323,911
163,.00,500.00,"9877770000544","discount green",3,0,20191101,81323,911
165,1500.01,9999999.00,"9877770000544","discount green",5,0,20191101,81323,911
166,.00,500.00,"9877770000551","discount green",3,0,20191101,81323,911
167,500.01,1500.00,"9877770000551","discount green",4,0,20191101,81323,911
168,1500.01,9999999.00,"9877770000551","discount green",5,0,20191101,81323,911
170,500.01,1500.00,"9877770000568","discount green",4,0,20191101,81323,911
171,1500.01,9999999.00,"9877770000568","discount green",5,0,20191101,81323,911
172,.00,500.00,"9877770000575","discount green",3,0,20191101,81323,911
174,1500.01,9999999.00,"9877770000575","discount green",5,0,20191101,81323,911
175,.00,500.00,"9877770000582","discount green",3,0,20191101,81323,911
176,500.01,1500.00,"9877770000582","discount green",4,0,20191101,81323,911
178,.00,500.00,"9877770000599","discount green",3,0,20191101,81323,911
179,500.01,1500.00,"9877770000599","discount green",4,0,20191101,81323,911
180,1500.01,9999999.00,"9877770000599","discount green",5,0,20191101,81323,911
182,500.01,1500.00,"9877770000605","discount green",4,0,20191101,81323,911
183,1500.01,9999999.00,"9877770000605","discount green",5,0,20191101,81323,911
184,.00,500.00,"9877770000612","discount green",3,0,20191101,81323,911
185,500.01,1500.00,"9877770000612","discount green",4,0,20191101,81323,911
187,.00,500.00,"9877770000629","discount green",3,0,20191101,81323,911
